first_name,last_name,Club,Position,Height,Nationality,Flag,Date of Birth,image_url,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Steven,Alzate,,Midfielder,180cm,Colombia,https://resources.premierleague.com/premierleague/flags/CO.png,08/09/1998,https://resources.premierleague.com/premierleague/photos/players/250x250/p235382.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Zeki,Amdouni,Burnley,Forward,185cm,Switzerland,https://resources.premierleague.com/premierleague/flags/CH.png,04/12/2000  (23),https://resources.premierleague.com/premierleague/photos/players/250x250/p492831.png,25,,,24,,,6,7,9,6,,,,,,,,,,1,428,17.12,2,8,,,,1,0,19,2,4,0,2,2,1,0.16,0,0,38,19,50%,5,,,,,,,,
Samuel,Amissah,,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,07/03/2007,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ethan,Ampadu,,Defender,182cm,Wales,https://resources.premierleague.com/premierleague/flags/GB-WLS.png,14/09/2000,https://resources.premierleague.com/premierleague/photos/players/250x250/p199598.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sofyan,Amrabat,Manchester United,Midfielder,183cm,Morocco,https://resources.premierleague.com/premierleague/flags/MA.png,21/08/1996  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p172912.png,12,,,22,64%,,0,5,12,6,,41,35,31,4,4,1,,0,0,425,35.42,0,5,0%,0,28,3,0,14,0,0,0,0,0,1,0.00,0,0,2,0,0%,0,,,,,,,,
Joseph,Anang,West Ham United,Goalkeeper,190cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,08/06/2000  (23),https://resources.premierleague.com/premierleague/photos/players/250x250/p447879.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Joachim,Andersen,Crystal Palace,Defender,192cm,Denmark,https://resources.premierleague.com/premierleague/flags/DK.png,31/05/1996  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p174874.png,26,5,44,33,64%,0,3,30,128,69,0,119,120,76,11,57,36,0,1,2,"1,510",58.08,2,26,35%,6,138,4,0,24,1,2,0,2,0,0,,,,,,,,,,,,,,,
Elliot,Anderson,Newcastle United,Midfielder,179cm,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,06/11/2002  (21),https://resources.premierleague.com/premierleague/photos/players/250x250/p215379.png,9,,,8,75%,,1,2,6,3,,18,29,33,8,6,4,,0,1,173,19.22,1,3,67%,0,3,0,0,6,0,0,0,0,0,0,0.00,0,0,7,3,43%,1,,,,,,,,
André,Gomes,Everton,Midfielder,188cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,30/07/1993  (30),https://resources.premierleague.com/premierleague/photos/players/250x250/p120250.png,3,,,1,100%,,0,0,0,0,,9,2,11,1,0,2,,0,0,59,19.67,0,8,25%,1,3,2,0,7,0,1,0,1,0,0,0.33,0,0,2,1,50%,0,,,,,,,,
Andreas,Pereira,Fulham,Midfielder,178cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,01/01/1996  (28),https://resources.premierleague.com/premierleague/photos/players/250x250/p156689.png,26,,,15,47%,,7,3,11,3,,69,58,102,14,12,28,,0,5,713,27.42,5,146,28%,10,38,5,0,12,3,1,0,1,0,2,0.04,0,0,31,8,26%,2,,,,,,,,
Andrey,Santos,,Midfielder,178cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,03/05/2004,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,1,,,0,0%,,1,0,0,0,,0,0,1,0,0,0,,0,0,6,6.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
Vincent,Angelini,Brentford,Goalkeeper,186cm,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,12/09/2003  (20),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
,Ângelo,,Forward,180cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,21/12/2004,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tino,Anjorin,,Midfielder,185cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,23/11/2001,https://resources.premierleague.com/premierleague/photos/players/250x250/p223332.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jaidon,Anthony,,Forward,183cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,01/12/1999,https://resources.premierleague.com/premierleague/photos/players/250x250/p444180.png,3,,,3,,,0,1,2,0,,,,,,,,,,0,43,14.33,0,2,,,,1,0,4,2,0,0,0,0,0,0.00,0,0,2,1,50%,0,,,,,,,,
Michail,Antonio,West Ham United,Forward,180cm,Jamaica,https://resources.premierleague.com/premierleague/flags/JM.png,28/03/1990  (33),https://resources.premierleague.com/premierleague/photos/players/250x250/p57531.png,14,,,8,,,2,1,1,0,,,,,,,,,,2,148,10.57,1,12,,,,3,0,16,6,2,0,2,0,0,0.14,0,0,10,4,40%,3,,,,,,,,
,Antony,Manchester United,Forward,174cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,24/02/2000  (24),https://resources.premierleague.com/premierleague/photos/players/250x250/p467169.png,20,,,28,,,13,8,4,1,,,,,,,,,,0,398,19.90,5,14,,,,3,0,11,1,0,0,0,0,1,0.00,0,0,26,6,23%,1,,,,,,,,
Keenan,Appiah-Forson,,Midfielder,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,16/10/2001,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Oliver,Arblaster,Sheffield United,Midfielder,175cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,05/05/2004  (19),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Cameron,Archer,Sheffield United,Forward,181cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,09/12/2001  (22),https://resources.premierleague.com/premierleague/photos/players/250x250/p433979.png,22,,,14,,,10,1,8,3,,,,,,,,,,0,274,12.45,5,3,,,,2,0,14,8,4,0,4,0,1,0.18,0,0,29,9,31%,4,,,,,,,,
Alphonse,Areola,West Ham United,Goalkeeper,195cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,27/02/1993  (31),https://resources.premierleague.com/premierleague/photos/players/250x250/p84182.png,23,4,37,,,,,,,,,,,,,,,0,0,0,542,23.57,,,,,133,1,0,2,,0,,,,,,,,,,,,94,1,7,12,4,3,102,176
Harry,Arter,,Midfielder,176cm,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,28/12/1989,https://resources.premierleague.com/premierleague/photos/players/250x250/p48615.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
,Arthur,,Midfielder,171cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,12/08/1996,https://resources.premierleague.com/premierleague/photos/players/250x250/p204043.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Harrison,Ashby,,Defender,,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,14/11/2001,https://resources.premierleague.com/premierleague/photos/players/250x250/p441024.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Lorenz,Assignon,Burnley,Defender,179cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,22/06/2000  (23),https://resources.premierleague.com/premierleague/photos/players/250x250/p503724.png,4,0,13,12,58%,0,1,3,11,6,0,11,25,25,5,5,8,0,0,1,66,16.50,1,5,40%,0,0,1,0,8,1,0,0,0,0,0,,,,,,,,,,,,,,,
Pierre-Emerick,Aubameyang,,Forward,187cm,Gabon,https://resources.premierleague.com/premierleague/flags/GA.png,18/06/1989,https://resources.premierleague.com/premierleague/photos/players/250x250/p54694.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Sèrge,Aurier,,Defender,176cm,Cote D’Ivoire,https://resources.premierleague.com/premierleague/flags/CI.png,24/12/1992,https://resources.premierleague.com/premierleague/photos/players/250x250/p80226.png,12,0,15,20,70%,1,1,9,32,29,0,50,62,53,3,30,20,0,1,2,391,32.58,1,22,23%,1,9,2,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,
Brandon,Austin,Tottenham Hotspur,Goalkeeper,188cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,08/01/1999  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p214572.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Taiwo,Awoniyi,Nottingham Forest,Forward,183cm,Nigeria,https://resources.premierleague.com/premierleague/flags/NG.png,12/08/1997  (26),https://resources.premierleague.com/premierleague/photos/players/250x250/p210156.png,15,,,8,,,2,1,9,9,,,,,,,,,,3,160,10.67,2,1,,,,2,0,9,12,6,1,3,2,0,0.40,0,0,21,11,52%,4,,,,,,,,
Yasin,Ayari,,Midfielder,172cm,Sweden,https://resources.premierleague.com/premierleague/flags/SE.png,06/10/2003,https://resources.premierleague.com/premierleague/photos/players/250x250/p509416.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jordan,Ayew,Crystal Palace,Forward,182cm,Ghana,https://resources.premierleague.com/premierleague/flags/GH.png,11/09/1991  (32),https://resources.premierleague.com/premierleague/photos/players/250x250/p80146.png,24,,,50,,,11,13,10,3,,,,,,,,,,6,639,26.63,6,74,,,,6,1,37,5,4,1,3,0,0,0.17,0,0,38,16,42%,4,,,,,,,,
César,Azpilicueta,,Defender,178cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,28/08/1989,https://resources.premierleague.com/premierleague/photos/players/250x250/p41328.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Abdul,Baba,,Defender,180cm,Ghana,https://resources.premierleague.com/premierleague/flags/GH.png,02/07/1994,https://resources.premierleague.com/premierleague/photos/players/250x250/p118335.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Benoît,Badiashile,Chelsea,Defender,194cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,26/03/2001  (22),https://resources.premierleague.com/premierleague/photos/players/250x250/p242880.png,8,1,15,13,77%,0,0,5,30,19,0,46,34,22,0,16,10,0,1,1,493,61.63,1,1,0%,0,13,1,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,
Leon,Bailey,Aston Villa,Midfielder,178cm,Jamaica,https://resources.premierleague.com/premierleague/flags/JM.png,09/08/1997  (26),https://resources.premierleague.com/premierleague/photos/players/250x250/p215711.png,24,,,4,75%,,11,6,3,1,,68,63,96,35,9,15,,0,7,438,18.25,8,43,23%,8,20,3,0,14,6,8,0,2,6,2,0.33,0,0,39,14,36%,1,,,,,,,,
Eric,Bailly,,Defender,187cm,Cote D’Ivoire,https://resources.premierleague.com/premierleague/flags/CI.png,12/04/1994,https://resources.premierleague.com/premierleague/photos/players/250x250/p197365.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Stefan,Bajcetic,Liverpool,Midfielder,185cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,22/10/2004  (19),https://resources.premierleague.com/premierleague/photos/players/250x250/p535928.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
