first_name,last_name,Club,Position,Height,Nationality,Flag,Date of Birth,Appearances,image_url,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Rayan,Aït-Nouri,Wolverhampton Wanderers,Defender,180cm,Algeria,https://resources.premierleague.com/premierleague/flags/DZ.png,06/06/2001  (22),87,https://resources.premierleague.com/premierleague/photos/players/250x250/p448514.png,10,92,174,57%,0,14,58,95,46,1,373,437,383,136,49,71,1,0,4,"2,542",29.22,6,205,23%,3,67,14,0,63,10,3,1,0,2,0,,,,,,,,,,,,,,,
Kristoffer,Ajer,Brentford,Defender,198cm,Norway,https://resources.premierleague.com/premierleague/flags/NO.png,17/04/1998  (25),50,https://resources.premierleague.com/premierleague/photos/players/250x250/p191866.png,8,63,62,60%,1,7,45,125,53,1,168,203,138,21,93,51,0,1,4,"1,418",28.36,8,34,21%,3,70,9,0,33,1,1,0,1,0,0,,,,,,,,,,,,,,,
Manuel,Akanji,Manchester City,Defender,186cm,Switzerland,https://resources.premierleague.com/premierleague/flags/CH.png,19/07/1995  (28),48,https://resources.premierleague.com/premierleague/photos/players/250x250/p211975.png,12,40,60,67%,1,8,33,76,38,1,230,138,122,8,43,51,0,1,1,"3,493",72.77,0,12,17%,4,115,4,1,36,0,2,1,0,0,0,,,,,,,,,,,,,,,
Nathan,Aké,Manchester City,Defender,180cm,Netherlands,https://resources.premierleague.com/premierleague/flags/NL.png,18/02/1995  (29),217,https://resources.premierleague.com/premierleague/photos/players/250x250/p126184.png,47,268,325,60%,3,31,251,885,485,5,900,904,573,37,445,347,0,0,8,"10,236",47.17,15,85,16%,6,335,21,1,134,8,18,11,1,6,7,,,,,,,,,,,,,,,
Ameen,Al Dakhil,Burnley,Defender,187cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,06/03/2002  (21),13,https://resources.premierleague.com/premierleague/photos/players/250x250/p487968.png,0,26,12,42%,0,3,12,34,25,0,50,33,46,3,14,23,1,1,0,598,46.00,0,3,33%,2,20,1,0,6,0,1,0,0,1,0,,,,,,,,,,,,,,,
Thiago,Alcântara,Liverpool,Midfielder,174cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,11/04/1991  (32),68,https://resources.premierleague.com/premierleague/photos/players/250x250/p61558.png,,,152,59%,,32,77,35,21,,390,365,305,74,77,67,,0,4,"4,313",63.43,7,14,21%,15,313,8,0,85,0,2,0,1,1,0,0.03,0,0,57,12,21%,2,,,,,,,,
Alex,Murphy,Newcastle United,Defender,,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,25/06/2004  (19),1,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,4,4.00,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Alex,Telles,,Defender,181cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,15/12/1992,30,https://resources.premierleague.com/premierleague/photos/players/250x250/p152590.png,5,37,62,55%,0,4,42,61,40,0,144,135,118,15,47,38,0,0,6,"1,393",46.43,3,182,23%,3,37,1,0,27,2,0,0,0,0,3,,,,,,,,,,,,,,,
Trent,Alexander-Arnold,Liverpool,Defender,175cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,07/10/1998  (25),219,https://resources.premierleague.com/premierleague/photos/players/250x250/p169187.png,68,190,338,64%,5,89,269,327,121,3,"1,402",627,707,162,81,124,0,4,58,"13,304",60.75,102,"1,640",26%,79,"1,047",25,0,109,31,14,0,14,0,9,,,,,,,,,,,,,,,
Alisson,Becker,Liverpool,Goalkeeper,193cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,02/10/1992  (31),194,https://resources.premierleague.com/premierleague/photos/players/250x250/p116535.png,85,163,,,,,,,,,,,,,,,1,10,3,"6,079",31.34,,,,,792,4,1,4,,1,,,,,,,,,,,,460,2,87,92,29,134,"1,038","1,024"
Sonny,Aljofree,,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,19/12/2004,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Josh,Allen,,Forward,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/12/2003,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Max,Alleyne,Manchester City,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/07/2005  (18),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Dele,Alli,Everton,Midfielder,188cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,11/04/1996  (27),194,https://resources.premierleague.com/premierleague/photos/players/250x250/p108823.png,,,275,64%,,87,146,124,71,,864,935,"1,248",209,145,214,,1,34,"6,213",32.03,48,92,14%,74,183,28,0,209,36,51,9,32,10,8,0.26,3,0,337,134,40%,40,,,,,,,,
Miguel,Almirón,Newcastle United,Midfielder,174cm,Paraguay,https://resources.premierleague.com/premierleague/flags/PY.png,10/02/1994  (30),170,https://resources.premierleague.com/premierleague/photos/players/250x250/p179018.png,,,255,63%,,84,102,71,28,,740,657,642,174,35,84,,1,6,"4,029",23.70,16,171,20%,14,98,13,0,108,60,23,0,3,20,10,0.14,0,0,247,77,31%,23,,,,,,,,
Julián,Álvarez,Manchester City,Forward,170cm,Argentina,https://resources.premierleague.com/premierleague/flags/AR.png,31/01/2000  (24),57,https://resources.premierleague.com/premierleague/photos/players/250x250/p461358.png,,,44,,,31,4,17,10,,,,,,,,,,7,"1,342",23.54,9,148,,,,2,0,41,5,17,1,14,2,3,0.30,2,1,120,52,43%,9,,,,,,,,
Steven,Alzate,,Midfielder,180cm,Colombia,https://resources.premierleague.com/premierleague/flags/CO.png,08/09/1998,43,https://resources.premierleague.com/premierleague/photos/players/250x250/p235382.png,,,60,52%,,10,32,28,19,,160,157,162,49,20,37,,0,0,"1,272",29.58,1,11,36%,2,47,3,0,43,4,1,0,1,0,0,0.02,0,0,21,6,29%,1,,,,,,,,
Zeki,Amdouni,Burnley,Forward,185cm,Switzerland,https://resources.premierleague.com/premierleague/flags/CH.png,04/12/2000  (23),25,https://resources.premierleague.com/premierleague/photos/players/250x250/p492831.png,,,24,,,6,7,9,6,,,,,,,,,,1,428,17.12,2,8,,,,1,0,19,2,4,0,2,2,1,0.16,0,0,38,19,50%,5,,,,,,,,
Samuel,Amissah,,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,07/03/2007,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ethan,Ampadu,,Defender,182cm,Wales,https://resources.premierleague.com/premierleague/flags/GB-WLS.png,14/09/2000,26,https://resources.premierleague.com/premierleague/photos/players/250x250/p199598.png,2,42,58,64%,0,1,49,85,36,0,114,149,88,13,53,31,1,1,0,"1,025",39.42,2,19,32%,0,57,3,0,25,1,0,0,0,0,0,,,,,,,,,,,,,,,
Sofyan,Amrabat,Manchester United,Midfielder,183cm,Morocco,https://resources.premierleague.com/premierleague/flags/MA.png,21/08/1996  (27),12,https://resources.premierleague.com/premierleague/photos/players/250x250/p172912.png,,,22,64%,,0,5,12,6,,41,35,31,4,4,1,,0,0,425,35.42,0,5,0%,0,28,3,0,14,0,0,0,0,0,1,0.00,0,0,2,0,0%,0,,,,,,,,
Joseph,Anang,West Ham United,Goalkeeper,190cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,08/06/2000  (23),0,https://resources.premierleague.com/premierleague/photos/players/250x250/p447879.png,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Joachim,Andersen,Crystal Palace,Defender,192cm,Denmark,https://resources.premierleague.com/premierleague/flags/DK.png,31/05/1996  (27),123,https://resources.premierleague.com/premierleague/photos/players/250x250/p174874.png,33,153,138,62%,1,8,135,588,322,2,623,526,347,32,299,162,3,4,6,"7,742",62.94,6,56,23%,13,772,23,1,109,5,4,1,3,0,1,,,,,,,,,,,,,,,
Elliot,Anderson,Newcastle United,Midfielder,179cm,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,06/11/2002  (21),32,https://resources.premierleague.com/premierleague/photos/players/250x250/p215379.png,,,19,58%,,5,8,7,3,,47,71,73,18,17,9,,0,2,359,11.22,3,12,50%,1,7,0,0,12,1,0,0,0,0,1,0.00,0,0,18,7,39%,2,,,,,,,,
André,Gomes,Everton,Midfielder,188cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,30/07/1993  (30),91,https://resources.premierleague.com/premierleague/photos/players/250x250/p120250.png,,,113,58%,,17,38,41,23,,488,368,556,109,83,69,,0,4,"3,262",35.85,4,65,26%,7,253,21,0,153,2,2,0,2,0,0,0.02,0,0,56,13,23%,2,,,,,,,,
Andreas,Pereira,Fulham,Midfielder,178cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,01/01/1996  (28),104,https://resources.premierleague.com/premierleague/photos/players/250x250/p156689.png,,,67,55%,,35,29,31,9,,326,234,485,63,34,106,,1,15,"2,679",25.76,20,430,29%,14,132,23,0,95,9,7,0,5,2,6,0.07,1,0,138,47,34%,7,,,,,,,,
Andrey,Santos,,Midfielder,178cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,03/05/2004,1,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,0%,,1,0,0,0,,0,0,1,0,0,0,,0,0,6,6.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
Vincent,Angelini,Brentford,Goalkeeper,186cm,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,12/09/2003  (20),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
,Ângelo,,Forward,180cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,21/12/2004,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tino,Anjorin,,Midfielder,185cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,23/11/2001,1,https://resources.premierleague.com/premierleague/photos/players/250x250/p223332.png,,,0,0%,,0,0,0,0,,1,2,2,1,0,0,,0,0,7,7.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Jaidon,Anthony,,Forward,183cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,01/12/1999,33,https://resources.premierleague.com/premierleague/photos/players/250x250/p444180.png,,,33,,,4,11,17,11,,,,,,,,,,1,503,15.24,0,46,,,,3,0,13,7,2,1,1,0,0,0.06,0,0,24,13,54%,1,,,,,,,,
Michail,Antonio,West Ham United,Forward,180cm,Jamaica,https://resources.premierleague.com/premierleague/flags/JM.png,28/03/1990  (33),241,https://resources.premierleague.com/premierleague/photos/players/250x250/p57531.png,,,172,,,119,140,154,80,,,,,,,,,,32,"4,174",17.32,34,456,,,,28,2,273,105,63,23,30,10,21,0.26,1,0,493,185,38%,62,,,,,,,,
,Antony,Manchester United,Forward,174cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,24/02/2000  (24),45,https://resources.premierleague.com/premierleague/photos/players/250x250/p467169.png,,,50,,,34,19,6,2,,,,,,,,,,2,"1,172",26.04,7,46,,,,8,0,26,3,4,0,0,4,5,0.09,0,0,98,30,31%,5,,,,,,,,
Keenan,Appiah-Forson,,Midfielder,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,16/10/2001,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Oliver,Arblaster,Sheffield United,Midfielder,175cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,05/05/2004  (19),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Cameron,Archer,Sheffield United,Forward,181cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,09/12/2001  (22),31,https://resources.premierleague.com/premierleague/photos/players/250x250/p433979.png,,,14,,,11,1,8,3,,,,,,,,,,0,289,9.32,5,4,,,,2,0,19,9,4,0,4,0,1,0.13,0,0,30,9,30%,4,,,,,,,,
Alphonse,Areola,West Ham United,Goalkeeper,195cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,27/02/1993  (30),64,https://resources.premierleague.com/premierleague/photos/players/250x250/p84182.png,13,91,,,,,,,,,,,,,,,0,2,0,"1,476",23.06,,,,,312,3,0,3,,0,,,,,,,,,,,,216,1,34,37,10,8,290,466
Harry,Arter,,Midfielder,176cm,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,28/12/1989,94,https://resources.premierleague.com/premierleague/photos/players/250x250/p48615.png,,,221,73%,,39,103,65,16,,507,390,366,54,25,29,,3,5,"4,282",45.55,4,50,28%,16,326,32,1,91,2,3,0,2,1,5,0.03,0,0,124,24,19%,2,,,,,,,,
,Arthur,,Midfielder,171cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,12/08/1996,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p204043.png,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Harrison,Ashby,,Defender,,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,14/11/2001,1,https://resources.premierleague.com/premierleague/photos/players/250x250/p441024.png,0,1,0,0%,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,6.00,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Lorenz,Assignon,Burnley,Defender,179cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,22/06/2000  (23),4,https://resources.premierleague.com/premierleague/photos/players/250x250/p503724.png,0,13,12,58%,0,1,3,11,6,0,11,25,25,5,5,8,0,0,1,66,16.50,1,5,40%,0,0,1,0,8,1,0,0,0,0,0,,,,,,,,,,,,,,,
Pierre-Emerick,Aubameyang,,Forward,187cm,Gabon,https://resources.premierleague.com/premierleague/flags/GA.png,18/06/1989,143,https://resources.premierleague.com/premierleague/photos/players/250x250/p54694.png,,,81,,,78,34,61,19,,,,,,,,,,16,"2,752",19.24,19,200,,,,9,1,61,80,69,4,53,12,12,0.48,9,1,326,148,45%,55,,,,,,,,
Sèrge,Aurier,,Defender,176cm,Cote D’Ivoire,https://resources.premierleague.com/premierleague/flags/CI.png,24/12/1992,113,https://resources.premierleague.com/premierleague/photos/players/250x250/p80226.png,21,121,301,65%,2,13,142,287,190,0,572,724,584,98,243,200,1,2,14,"4,243",37.55,19,325,17%,4,115,8,2,128,10,6,2,3,1,0,,,,,,,,,,,,,,,
Brandon,Austin,Tottenham Hotspur,Goalkeeper,188cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,08/01/1999  (25),0,https://resources.premierleague.com/premierleague/photos/players/250x250/p214572.png,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Taiwo,Awoniyi,Nottingham Forest,Forward,183cm,Nigeria,https://resources.premierleague.com/premierleague/flags/NG.png,12/08/1997  (26),42,https://resources.premierleague.com/premierleague/photos/players/250x250/p210156.png,,,25,,,5,5,29,24,,,,,,,,,,4,379,9.02,3,4,,,,4,0,33,27,16,4,9,3,2,0.38,0,0,56,26,46%,12,,,,,,,,
Yasin,Ayari,,Midfielder,172cm,Sweden,https://resources.premierleague.com/premierleague/flags/SE.png,06/10/2003,3,https://resources.premierleague.com/premierleague/photos/players/250x250/p509416.png,,,2,100%,,0,0,0,0,,3,5,5,0,0,1,,0,0,22,7.33,0,0,0%,1,2,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Jordan,Ayew,Crystal Palace,Forward,182cm,Ghana,https://resources.premierleague.com/premierleague/flags/GH.png,11/09/1991  (32),263,https://resources.premierleague.com/premierleague/photos/players/250x250/p80146.png,,,423,,,121,135,117,69,,,,,,,,,,24,"5,716",21.73,26,369,,,,35,3,387,58,37,8,24,5,9,0.14,2,0,353,121,34%,23,,,,,,,,
César,Azpilicueta,,Defender,178cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,28/08/1989,349,https://resources.premierleague.com/premierleague/photos/players/250x250/p41328.png,115,340,869,70%,3,38,545,954,500,5,"1,674","1,730","1,239",97,604,467,4,1,35,"20,030",57.39,41,686,21%,29,730,34,2,324,19,10,2,8,0,3,,,,,,,,,,,,,,,
Abdul,Baba,,Defender,180cm,Ghana,https://resources.premierleague.com/premierleague/flags/GH.png,02/07/1994,15,https://resources.premierleague.com/premierleague/photos/players/250x250/p118335.png,2,13,47,83%,0,1,23,32,13,1,76,67,65,8,8,13,0,1,1,526,35.07,0,31,16%,0,18,1,0,14,2,0,0,0,0,0,,,,,,,,,,,,,,,
Benoît,Badiashile,Chelsea,Defender,194cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,26/03/2001  (22),19,https://resources.premierleague.com/premierleague/photos/players/250x250/p242880.png,5,24,27,67%,0,2,21,63,38,0,122,90,54,1,51,24,0,1,1,"1,348",70.95,2,3,0%,1,52,3,0,14,0,1,0,0,1,0,,,,,,,,,,,,,,,
Leon,Bailey,Aston Villa,Midfielder,178cm,Jamaica,https://resources.premierleague.com/premierleague/flags/JM.png,09/08/1997  (26),75,https://resources.premierleague.com/premierleague/photos/players/250x250/p215711.png,,,35,57%,,37,13,16,9,,178,215,369,89,43,78,,0,13,"1,067",14.23,17,172,22%,13,48,10,0,55,19,13,0,2,11,7,0.17,0,0,111,36,32%,5,,,,,,,,
Eric,Bailly,,Defender,187cm,Cote D’Ivoire,https://resources.premierleague.com/premierleague/flags/CI.png,12/04/1994,70,https://resources.premierleague.com/premierleague/photos/players/250x250/p197365.png,24,56,102,70%,1,4,118,272,115,0,364,277,157,27,105,61,2,1,0,"2,329",33.27,0,2,0%,1,123,10,1,57,0,1,0,1,0,1,,,,,,,,,,,,,,,
